매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,시간대_생활인구_수,평일_생활인구_평균,주말_생활인구_평균,집객시설_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
168328.4056,2021,발달상권,2120212,한티역,2,3,19,1481,682,713,20,0,29,73,43,13,17,104,183480,,,58,,,,,,,,,293783,1040479.0,142882.0,144218.0,147755.0,147472.0,150710.0,161679.0,145765.0,1.0,6.0,1.0,0.0,112734.0,365919.0,106623.0,99898.0,213051.0,132987.0,122001.0,617334.0,4.0,1.0
127076.5582,2021,발달상권,2120213,삼성중앙역,2,3,34,4094,2304,8472,90,13,475,219,91,43,26,213,321754,,,41,,,,,,,,,105676,1511979.0,224676.0,231082.0,232917.0,239630.0,232156.0,180198.0,171318.0,2.0,3.0,0.0,0.0,228925.0,126766.0,259979.0,370543.0,343318.0,198319.0,213053.0,308258.0,3.0,1.0
161629.4203,2021,발달상권,2120214,영동대교남단교차로,2,3,15,761,321,3990,8,0,0,16,0,0,12,200,53659,,,11,,,,,,,,,106342,251659.0,37661.0,38578.0,39243.0,40072.0,40152.0,30316.0,25635.0,0.0,1.0,0.0,0.0,89135.0,24714.0,37911.0,57484.0,50282.0,38259.0,43009.0,0.0,2.0,0.0
208927.8216,2021,발달상권,2120215,포스코사거리,2,3,66,3513,2227,61656,29,0,116,631,132,190,39,284,611952,,,92,,,,,,,,,306870,2808746.0,435145.0,450585.0,453893.0,470642.0,448001.0,286999.0,263482.0,0.0,17.0,0.0,0.0,318625.0,294581.0,493620.0,727794.0,633014.0,368676.0,291062.0,0.0,7.0,0.0
91666.10806,2021,발달상권,2120216,경기고교사거리(경기고교앞사거리),2,3,17,218,151,4934,1,0,0,0,0,0,0,12,42280,,,31,,,,,,,,,223708,190616.0,28366.0,29165.0,29845.0,30394.0,30485.0,23499.0,18864.0,0.0,4.0,0.0,0.0,71694.0,20132.0,26917.0,41740.0,37577.0,28404.0,35846.0,0.0,5.0,0.0
111604.8049,2021,발달상권,2120217,대치사거리,2,3,21,3789,2015,2779,102,30,299,233,231,88,39,57,258149,,,11,,,,,,,,,86218,1307101.0,189373.0,193484.0,194495.0,196352.0,192836.0,175542.0,165020.0,0.0,2.0,0.0,0.0,159410.0,384806.0,170528.0,196428.0,240673.0,168610.0,146056.0,0.0,5.0,0.0
83635.44903,2021,발달상권,2120218,코엑스,2,3,29,28,17,290,0,0,0,0,0,0,0,0,7673,,,22,,,,,,,,,91329,39027.0,5639.0,5910.0,6009.0,6379.0,6303.0,4688.0,4098.0,0.0,6.0,0.0,0.0,145396.0,2475.0,8260.0,10639.0,8769.0,4873.0,4012.0,0.0,3.0,0.0
175778.01,2021,발달상권,2120219,은마아파트,2,3,39,1039,418,17161,18,0,3,23,26,9,19,132,197433,,,57,,,,,,,,,182617,1114618.0,152876.0,150218.0,154706.0,155034.0,155832.0,181369.0,164583.0,0.0,6.0,0.0,0.0,149660.0,459409.0,123583.0,91214.0,184699.0,133880.0,121834.0,0.0,6.0,0.0
139464.102,2021,발달상권,2120220,대치역,2,3,26,831,255,5578,3,0,0,0,0,0,0,212,88320,,,72,,,,,,,,,131017,502744.0,70190.0,71731.0,70706.0,72471.0,72446.0,77900.0,67300.0,1.0,8.0,0.0,0.0,163253.0,185210.0,44973.0,39279.0,96768.0,63711.0,72805.0,448692.0,5.0,1.0
175564.2723,2021,발달상권,2120221,봉은사역,2,3,20,693,489,19513,7,0,5,42,13,18,21,78,82360,,,33,,,,,,,,,397369,366161.0,55348.0,58115.0,57336.0,59513.0,57740.0,40271.0,37836.0,2.0,6.0,0.0,0.0,124925.0,43487.0,58612.0,82094.0,77813.0,48328.0,55827.0,676091.0,6.0,1.0
