매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,점포수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,버스정류장_수
42585.68132,2020,골목상권,2110959,신구중학교,1,2,365,166,271,21486,0,0,0,0,35959,0,0,0,19822.6,14757.5,82,2862.494938,0,0.83428349,2.224755972,0.742465753,,,,,,,,,,,,,,,,,,,,,,,,,
94401.8022,2020,골목상권,2110960,은광여고,1,2,719,417,1522,29259,0,0,0,1,25543,0,0,0,16437.8,14330.5,239,2863.362283,0,1.174490076,1.565986767,2.116828929,,,,,,,,,,,,,,,,,,,,,,,,,
124104.8114,2020,골목상권,2110961,언주역 3번,1,2,2169,1298,962,139886,1,0,0,1,63031,0,0,0,119568.4,88421.5,612,2863.719785,0,0.951912551,0.475956275,0.443522361,,,,,,,,,,,,,,,,,,,,,,,,,
49563.4359,2020,골목상권,2110963,역삼월드메르디앙아파트,1,2,1724,847,780,127310,0,0,0,1,40391,0,0,0,62226.4,55935,543,2863.609714,0,0.742739719,0.247579906,0.452436195,,,,,,,,,,,,,,,,,,,,,,,,,
128602.7967,2020,골목상권,2110965,언주역 6번,1,2,2309,1512,1139,169546,0,0,0,2,65107,0,0,0,127942.4,98625.5,694,2863.375899,0,0.921559894,0.307186631,0.493287137,,,,,,,,,,,,,,,,,,,,,,,,,
94191.66758,2020,골목상권,2110966,논현2동주민센터,1,2,2887,1539,1637,293277,0,0,0,2,93544,0,0,0,268883.2,189737,843,2863.343569,0,0.42760626,0.962114085,0.567024593,,,,,,,,,,,,,,,,,,,,,,,,,
240980.7521,2020,골목상권,2110967,역삼역 8번,1,2,1307,877,377,130901,0,0,0,3,68671,0,0,0,99930.2,71507.5,379,2863.491983,0,1.310596904,1.019353148,0.288446825,,,,,,,,,,,,,,,,,,,,,,,,,
371924.0525,2020,골목상권,2110971,선정릉역 4번,1,2,3836,2425,1542,208909,1,1,0,4,133221,0,0,0,129777.4,105131.5,1637,2863.675862,0,0.675569167,0.525442685,0.40198123,,,,,,,,,,,,,,,,,,,,,,,,,
16845.64103,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,2,1995,1013,2628,68570,0,0,0,0,46603,0,0,0,33722.4,30993,630,2863.014336,0,0.643735382,0.429156921,1.317293233,,,,,,,,,,,,,,,,,,,,,,,,,
111817.1337,2020,골목상권,2110974,언주중학교,1,2,1479,770,292,184523,0,0,0,0,35150,0,0,0,105949,95156.5,535,2862.751951,0,1.706970128,0.568990043,0.197430696,,,,,,,,,,,,,,,,,,,,,,,,,
119627.3718,2020,골목상권,2110975,매봉역 1번,1,2,944,361,10837,56061,0,0,0,0,52363,9023,7155,1,40955.8,39348,250,2862.489873,0.572923629,1.145847259,2.100719974,11.47987288,,,,,,,,,,,,,,,,,,,,,,,,,
47249.66484,2020,골목상권,2110976,언북초등학교,1,2,2011,1046,578,180128,0,0,0,0,55724,0,0,0,118187.8,105511,476,2862.846179,0,1.076735338,0.358911779,0.287419194,,,,,,,,,,,,,,,,,,,,,,,,,
53973.4359,2020,골목상권,2110977,논현로18길,1,2,707,335,148,33211,0,0,0,0,17287,0,0,0,20432,17445,108,2862.852779,0,5.20622433,0,0.209335219,,,,,,,,,,,,,,,,,,,,,,,,,
57026.40659,2020,골목상권,2110980,개포지구대옆,1,2,2707,1114,663,140237,0,0,0,0,85827,0,0,0,77960.2,67762.5,679,2863.249219,0,0.349540354,0.233026903,0.244920576,,,,,,,,,,,,,,,,,,,,,,,,,
125653.4799,2020,골목상권,2110981,국악고교사거리,1,2,2105,876,361,143475,0,0,0,0,67409,569,0,0,76077,72953.5,543,2863.494637,0.593392574,1.335133291,1.038437004,0.171496437,,,,,,,,,,,,,,,,,,,,,,,,,
163445.8242,2020,골목상권,2110983,국립국악고등학교,1,2,2836,1257,783,125206,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2863.411128,0,0.535322353,0.713763138,0.276093089,,,,,,,,,,,,,,,,,,,,,,,,,
62985.95513,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,2,4522,1948,1556,322638,0,0,0,1,137097,204,0,0,135608.4,131667.5,1079,2863.664111,0.072941056,0.875292676,1.021174789,0.344095533,,,,,,,,,,,,,,,,,,,,,,,,,
178933.9414,2020,골목상권,2110985,청담근린공원,1,2,980,472,1338,73633,0,0,0,0,43265,0,0,0,47333.2,41525,239,2863.726028,0,0.693401133,0.231133711,1.365306122,,,,,,,,,,,,,,,,,,,,,,,,,
68559.49084,2020,골목상권,2110988,청담역 3번,1,2,1340,480,1594,35463,0,0,0,0,79185,0,26324,1,27747,26977,345,2864.023707,0,0.378859633,0.631432721,1.189552239,,,,,,,,,,,,,,,,,,,,,,,,,
97075.72039,2020,골목상권,2110989,대치동아우편취급국,1,2,1575,908,444,127669,2,0,0,3,40587,0,0,0,88693,71351,671,2864.40689,0,2.217458792,1.724690172,0.281904762,,,,,,,,,,,,,,,,,,,,,,,,,
90904.48779,2020,골목상권,2110992,도곡초등학교,1,2,8040,3724,2179,484082,2,0,0,1,138866,0,0,0,251094.8,279559,1927,2863.776906,0,1.296213616,0.57609494,0.2710199,,,,,,,,,,,,,,,,,,,,,,,,,
37018.18681,2020,골목상권,2110994,개포고등학교,1,2,1706,744,494,194130,1,0,0,4,61589,0,0,0,88556.2,86335,321,2862.308675,0,0.974199938,2.760233159,0.289566237,,,,,,,,,,,,,,,,,,,,,,,,,
